category	-log10(pvalue)	zscore	ratio	molecules	direction
Thyroid Cancer Signaling	0.838	-0.192	0.551	AKT1, AKT2, AKT3, BDNF, CCND1, CTNNB1, FOXO1, HRAS, INSR, IRS1, IRS2, JUN, KRAS, MAP2K1, MAPK3, MRAS, MTOR, NRAS, NTF3, PDK1, PIK3CB, PIK3R1, PIK3R3, RALA, RET, RRAS, TP53		negative
Agrin Interactions at Neuromuscular Junction	0.837	-1.633	0.549	ACTA1, ACTA2, ACTB, ACTC1, CTTN, DAG1, EGFR, ERBB2, ERBB3, ERBB4, GABPA, HRAS, ITGB1, JUN, KRAS, LAMA2, LAMB1, MAPK12, MAPK3, MAPK8, MRAS, MUSK, NRAS, PAK4, PTK2, RALA, RAPSN, RRAS		negative
Hypoxia Signaling in the Cardiovascular System	0.837	0.302	0.549	AKT1, ATF4, COPS5, CREB3L2, EDN1, HIF1AN, HSP90AA1, JUN, LDHA, NFKBIA, NFKBIB, NQO1, P4HB, SLC2A4, TP53, UBE2A, UBE2B, UBE2D1, UBE2D2, UBE2E1, UBE2E2, UBE2H, UBE2J1, UBE2L3, UBE2M, UBE2N, UBE2Q2, UBE2V2		positive
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	0.836	0.557	0.545	BAX, CASP3, CCL5, CXCL10, EIF2AK2, IL6, JUN, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK8, MYD88, NFKB1, NFKBIA, NFKBIB, PLA2G3, PLA2G4A, PLA2G4E, PLA2R1, PLAAT3, PLB1, PNPLA8, PRDX6, PTGS2, TLR4		positive
Non-Small Cell Lung Cancer Signaling	0.836	-1.279	0.541	AKT1, AKT2, AKT3, CCND1, CCND3, E2F6, EGFR, ERBB2, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, HRAS, ITPR2, KRAS, MAP2K1, MAPK3, MRAS, NRAS, PDPK1, PIK3CB, PIK3R1, PIK3R3, RALA, RASSF5, RBL2, RRAS, RXRG, STK4, TGFA, TP53		negative
Wound Healing Signaling Pathway	0.832	-0.372	0.516	ACTA2, ACVR1, ACVR2A, BMPR2, CCL5, COL1A2, COL20A1, COL3A1, COL4A1, COL4A2, COL5A2, COL5A3, COL6A3, COL7A1, EGFR, F2, FGF2, FGFR2, HRAS, IKBKB, IL15, IL17F, IL1R1, IL1RAP, IL33, IL6, ITGA3, ITGA6, ITGB1, JUN, KRAS, LAMA2, LAMA5, LAMB1, LTB, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK12, MAPK3, MAPK8, MRAS, NFKB1, NFKBIA, NFKBIB, NGFR, NRAS, PDGFA, PDGFB, PDGFC, RALA, RRAS, SNAI2, TGFA, TGFB1, TGFB2, TGFB3, TGFBR2, TNFRSF11B, TNFRSF1B, TNFSF12, TRAF2, TRAF6, VEGFD		negative
Inositol Pyrophosphates Biosynthesis	0.831	1	0.8	IP6K1, IP6K3, IPMK, PPIP5K1		positive
γ-glutamyl Cycle	0.831	0	0.8	CHAC2, GGT5, GSS, OPLAH		no direction
Tight Junction Signaling	0.821	0	0.517	ACTA1, ACTA2, ACTB, ACTC1, AFDN, AKT1, AKT2, AKT3, CEBPA, CNKSR3, CSTF2, CTNNA1, CTNNB1, EPB41, F11R, GOSR2, GPAA1, JUN, MARK2, MPDZ, MYH1, MYH2, MYH3, MYH4, MYH8, MYH9, MYL1, MYL4, MYL9, MYLK, NAPB, NAPG, NECTIN2, NECTIN3, NFKB1, NGFR, NUDT21, PALS1, PATJ, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PRKACA, PRKAR1A, PRKAR2B, PRKCI, RELA, RHOA, SAFB, SPTAN1, STX16, TGFB1, TGFB2, TGFB3, TGFBR2, TNFRSF11B, TNFRSF1B, VCL, VTI1B		no direction
IL-8 Signaling	0.818	-0.544	0.517	AKT1, AKT2, AKT3, BAX, CCND1, CCND3, EGFR, EIF4EBP1, FNBP1, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, HRAS, IKBKB, IKBKG, IRAK1, IRAK2, ITGAV, JUN, KRAS, MAP2K1, MAPK12, MAPK3, MAPK8, MRAS, MTOR, MYL9, NFKB1, NFKBIA, NFKBIB, NRAS, PDGFC, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, PTGS2, PTK2, RALA, RELA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, ROCK1, RRAS, TEK, TRAF6, VCAM1, VEGFD		negative
Hepatic Fibrosis / Hepatic Stellate Cell Activation	0.815	0	0.518	ACTA2, BAX, CCL5, CCN2, CD14, COL1A2, COL20A1, COL3A1, COL4A1, COL4A2, COL5A2, COL5A3, COL6A3, COL7A1, EDN1, EGFR, FAS, FGF1, FGF2, FGFR2, IFNAR2, IGFBP4, IGFBP5, IL1R1, IL1RAP, IL4R, IL6, IL6R, LBP, MET, MYH1, MYH2, MYH3, MYH4, MYH8, MYH9, MYL1, MYL4, MYL9, NFKB1, NGFR, PDGFA, PDGFB, PDGFC, PDGFRA, RELA, SMAD3, SMAD4, TGFA, TGFB1, TGFB2, TGFB3, TGFBR2, TIMP2, TLR4, TNFRSF11B, TNFRSF1B, VCAM1, VEGFD		no direction
DNA Methylation and Transcriptional Repression Signaling	0.801	0	0.611	GATAD2A, H3-3A/H3-3B, H4C3, H4C9, HDAC2, MECP2, MTA1, MTA2, MTA3, SAP30, SUDS3		no direction
Role of JAK family kinases in IL-6-type Cytokine Signaling	0.801	0	0.611	IL6, IL6R, IL6ST, MAPK12, MAPK14, MAPK3, MAPK8, OSMR, PTPN11, SOCS3, STAT3		no direction
IL-17A Signaling in Gastric Cells	0.787	0.333	0.6	CCL5, CXCL10, EGFR, IL17RA, IL17RC, JUN, MAPK12, MAPK14, MAPK3, MAPK8, NFKB1, RELA		positive
Role of RIG1-like Receptors in Antiviral Innate Immunity	0.787	0.632	0.6	DDX58, FADD, IKBKB, IKBKG, IRF3, NFKB1, NFKBIA, NFKBIB, RELA, TRAF2, TRAF3, TRAF6		positive
Ephrin A Signaling	0.777	0	0.591	ADAM10, BCAR1, CFL2, EPHA3, EPHA7, NGFR, PIK3CB, PIK3R1, PIK3R3, PTK2, PTPN11, RHOA, ROCK1		no direction
Fatty Acid β-oxidation I	0.777	0.277	0.591	ACAA2, ACADM, ACSL1, ACSL3, ACSL5, ACSL6, ECI1, ECI2, HADH, HADHA, HSD17B4, SCP2, SLC27A1		positive
RAR Activation	0.774	0	0.512	ACTB, ADCY5, ADCY8, Akr1b10, AKR1B10, AKT1, AKT2, AKT3, ALDH1A1, ARID1A, ARID2, CARM1, CCNH, CSF2RB, DHRS3, DHRS4, DUSP1, GTF2H2, GTF2H5, JUN, MAP2K1, MAP3K1, MAP3K5, MAPK12, MAPK14, MAPK8, MAPKAPK2, MED1, NCOA1, NFKB1, NR2F1, NR2F2, PDPK1, PIK3CB, PIK3R1, PIK3R3, PNRC1, PPARGC1A, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, RARA, RARG, RBP3, RBP4, RDH16, RDH5, RELA, RXRG, SMAD3, SMAD4, SMARCA2, SMARCB1, SMARCD2, SMARCD3, SNW1, SORBS3, SRA1, TGFB1, TGFB2, TGFB3, TRIM24		no direction
p38 MAPK Signaling	0.771	0.493	0.525	ATF4, CREB3L2, DDIT3, DUSP1, DUSP10, FADD, FAS, H3-3A/H3-3B, HSPB3, HSPB7, IL1R1, IL1RAP, IL33, IRAK1, IRAK2, MAP2K3, MAP2K6, MAP3K5, MAPK12, MAPK14, MAPKAPK2, MAPKAPK3, MAPT, MEF2A, MEF2C, MEF2D, MKNK1, MKNK2, PLA2G3, PLA2G4A, PLA2G4E, RPS6KA2, RPS6KA5, SRF, TGFB1, TGFB2, TGFB3, TGFBR2, TNFRSF1B, TP53, TRAF2, TRAF6		positive
IL-17 Signaling	0.769	0.469	0.526	AKT1, AKT2, AKT3, HRAS, HSP90AA1, IL15, IL17F, IL17RA, IL17RC, IL17RE, IL33, IL6, JUN, KRAS, LTB, MAP2K3, MAP2K6, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, NFKB1, NRAS, PDGFC, PIK3CB, PIK3R1, PIK3R3, PTGS2, RALA, RELA, RRAS, TGFB1, TGFB2, TGFB3, TNFRSF11B, TNFSF12, TRAF2, TRAF3IP2, TRAF6, VEGFD		positive
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	0.766	0	0.526	ATP6AP1, ATP6AP2, ATP6V0A1, ATP6V0C, ATP6V0D1, ATP6V0E2, ATP6V1A, ATP6V1C1, ATP6V1E1, BAX, CASP3, HRAS, JUN, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, NFKB1, NFKBIA, NFKBIB, NRAS, PLA2G3, PLA2G4A, PLA2G4E, PLA2R1, PLAAT3, PLB1, PNPLA8, PRDX6, PTGS2, RABGEF1, RALA, RRAS		no direction
Prostate Cancer Signaling	0.762	0	0.528	AKT1, AKT2, AKT3, AR, ATF4, CCND1, CCNE2, CDKN1A, CREB3L2, CTNNB1, E2F6, FOXO1, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, HRAS, HSP90AA1, KRAS, MAP2K1, MAPK3, MRAS, MTOR, NFKB1, NFKBIA, NFKBIB, NRAS, PDPK1, PIK3CB, PIK3R1, PIK3R3, RALA, RBL2, RELA, RRAS, TP53		no direction
Sertoli Cell-Sertoli Cell Junction Signaling	0.761	0	0.513	ACTA1, ACTA2, ACTB, ACTC1, ACTN2, ACTN4, AFDN, AKT1, AKT2, AKT3, BCAR1, CTNNA1, CTNNB1, EPB41, EPN2, F11R, HRAS, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, JUN, KEAP1, KRAS, MAP2K1, MAP2K3, MAP2K7, MAP3K1, MAP3K10, MAP3K2, MAP3K20, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, NECTIN2, NECTIN3, NRAS, PALS2, PRKACA, PRKAR1A, PRKAR2B, PRKG1, RALA, RRAS, SORBS1, SPTAN1, SPTBN1, TGFB3, TJAP1, TUBA1A, TUBB, TUBB2B, TUBB6, TUBG1, VCL		no direction
Fatty Acid Activation	0.759	0.447	0.714	ACSL1, ACSL3, ACSL5, ACSL6, SLC27A1		positive
CD28 Signaling in T Helper Cells	0.758	-1.061	0.529	AKT1, AKT2, AKT3, ARPC1B, ARPC3, ARPC4, BCL10, Calm1 (includes others), CD3G, CD80, CHP1, HLA-A, IKBKB, IKBKG, ITPR2, JUN, MAP2K1, MAP3K1, MAPK12, MAPK8, NFAT5, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, PDPK1, PIK3CB, PIK3R1, PIK3R3, PPP3CA, PPP3CB, PPP3R1, PRKCQ, PTPN11, RELA		negative
nNOS Signaling in Skeletal Muscle Cells	0.757	0	0.571	CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), CAPN3, DAG1, DMD, ITPR2, RYR1, RYR3, SNTA1, SNTB2		no direction
Type I Diabetes Mellitus Signaling	0.756	0.707	0.53	APAF1, CASP3, CD3G, CD80, CPE, FADD, FAS, HLA-A, IKBKB, IKBKG, IL1R1, IL1RAP, IRAK1, IRF1, MAP2K3, MAP2K6, MAP2K7, MAP3K5, MAPK12, MAPK14, MAPK8, MYD88, NFKB1, NFKBIA, NFKBIB, NGFR, PIAS1, RELA, SOCS2, SOCS3, SOCS7, TNFRSF11B, TNFRSF1B, TRAF2, TRAF6		positive
Melanoma Signaling	0.753	-0.243	0.567	AKT1, AKT2, AKT3, CCND1, CDKN1A, HRAS, KRAS, MAP2K1, MAPK3, MRAS, NRAS, PIK3CB, PIK3R1, PIK3R3, RALA, RRAS, TP53		negative
B Cell Receptor Signaling	0.752	-1.192	0.513	AKT1, AKT2, AKT3, ATF4, BCL10, Calm1 (includes others), CAMK2D, CAMK2G, CARD10, CFL2, CREB3L2, EGR1, ETS1, FOXO1, GAB2, HRAS, IKBKB, IKBKG, INPP5K, INPPL1, JUN, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K1, MAP3K10, MAP3K2, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK8, MEF2C, MRAS, MTOR, NFAT5, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, NRAS, PDPK1, PIK3CB, PIK3R1, PIK3R3, PPP3CA, PPP3CB, PPP3R1, PRKCQ, PTK2, PTPN11, RALA, RASSF5, RELA, RRAS		negative
NF-κB Signaling	0.752	-0.927	0.513	AKT1, AKT2, AKT3, AZI2, BCL10, BMPR1B, BMPR2, CARD10, CD3G, EGFR, EIF2AK2, FADD, FGFR2, GHR, HDAC2, HRAS, IKBKB, IKBKG, IL1R1, IL33, INSR, IRAK1, KRAS, MAP2K6, MAP2K7, MAP3K1, MAPK8, MRAS, MYD88, NFKB1, NFKBIA, NFKBIB, NGFR, NRAS, PDGFRA, PELI1, PIK3CB, PIK3R1, PIK3R3, PRKACA, PRKCQ, RALA, RELA, RRAS, TAB3, TGFA, TGFBR2, TLR1, TLR4, TLR5, TLR6, TNFAIP3, TNFRSF11B, TNFRSF1B, TRAF2, TRAF3, TRAF6, UBE2N		negative
Ceramide Signaling	0.749	-0.73	0.534	AKT1, AKT2, AKT3, CTSD, HRAS, JUN, KRAS, MAP2K1, MAP3K1, MAPK3, MAPK8, MRAS, NFKB1, NGFR, NRAS, NSMAF, PIK3CB, PIK3R1, PIK3R3, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, RALA, RELA, RRAS, S1PR1, S1PR3, TNFRSF11B, TNFRSF1B		negative
UVB-Induced MAPK Signaling	0.747	0.943	0.559	AKT1, EGFR, EIF4EBP1, H3-3A/H3-3B, JUN, MAP2K1, MAPK12, MAPK14, MAPK3, MAPK8, MTOR, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, RPS6KA5, TP53		positive
GP6 Signaling Pathway	0.746	-0.186	0.537	ADAM10, AKT1, AKT2, AKT3, Calm1 (includes others), COL1A2, COL20A1, COL3A1, COL4A1, COL4A2, COL5A2, COL5A3, COL6A3, COL7A1, LAMA2, LAMA4, LAMA5, LAMB1, LAMB2, PDPK1, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, PTK2, RASGRP2, SCHIP1		negative
MYC Mediated Apoptosis Signaling	0.744	0.218	0.553	ADRB2, APAF1, BAX, BCL2L11, CASP2, CASP3, CRADD, FADD, FAS, IKBKB, IKBKG, MCL1, NFKB1, NGFR, PRKACA, PRKAR1A, PRKAR2B, TNFRSF11B, TNFRSF1B, TP53, TRAF2		positive
Estrogen-Dependent Breast Cancer Signaling	0.743	-1.342	0.548	AKR1B10, AKT1, AKT2, AKT3, ATF4, CCND1, CREB3L2, EGFR, ESR1, HRAS, HSD17B4, JUN, KRAS, MAPK3, MRAS, NFKB1, NRAS, PIK3CB, PIK3R1, PIK3R3, RALA, RELA, RRAS		negative
FAT10 Signaling Pathway	0.743	0	0.55	HTT, MAP1LC3B, NUB1, PSMA1, PSMA2, PSMA4, PSMA7, PSMB1, PSMB2, PSMB7, PSMC2, PSMC3, PSMD1, PSMD11, PSMD12, PSMD14, PSMD4, PSMD5, PSMD6, PSME1, PSME4, SQSTM1		no direction
Adipogenesis pathway	0.711	0	0.517	AGPAT2, AKT1, ARNTL, BMPR1B, BMPR2, CCNH, CEBPA, CTNNB1, DDIT3, EZH2, FBXW7, FGF1, FGF2, FGFR2, FGFRL1, FOXO1, FZD7, GTF2H2, GTF2H5, HAT1, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, KDM1A, LPIN1, LPL, NOCT, NR1D1, NR2F2, PPARG, PPIP5K1, RUNX1T1, SAP30, SIRT2, SLC2A4, SMAD3, SREBF1, TBL1XR1, TGFB1, TP53, XBP1, ZNF423		no direction
Hereditary Breast Cancer Signaling	0.702	0	0.519	ACTB, AKT1, AKT2, AKT3, ARID1A, ARID2, CCND1, CCND3, CDKN1A, FANCD2, GADD45A, GADD45G, H2AX, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, HRAS, KRAS, MRAS, MSH6, NRAS, PIK3CB, PIK3R1, PIK3R3, POLR2E, POLR2I, POLR2J, RALA, RPA1, RRAS, SMARCA2, SMARCB1, SMARCD2, SMARCD3, TP53, TUBG1, Ubb, UBC, WEE1		no direction
Insulin Secretion Signaling Pathway	0.696	0	0.503	ABCC8, ABCC9, ADCY5, ADCY8, AGO2, AGO4, ATF4, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, CAMK2D, CAMK2G, CLCN3, CPE, CREB3L2, DLAT, DLD, EIF2B2, EIF2B4, EIF4EBP1, EIF4EBP2, EIF4G3, GHR, GOSR2, GPAA1, INSR, ITPR2, KCNB1, KLF11, MAPK12, MAPK14, MAPK3, MTOR, NAPB, NAPG, PAIP1, PC, PDHA1, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLCD4, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PRLR, RPS6KA5, RYR1, RYR3, SEC11C, SEC61A1, SEC61A2, SLC2A1, SLC2A4, SLC2A5, SPCS1, SRP14, SRP68, SSR2, SSR3, SSR4, STAT3, STAT6, STX16, VTI1B		no direction
DNA damage-induced 14-3-3σ Signaling	0.694	0	0.636	AKT1, AKT2, AKT3, CCNE2, HUS1, RAD17, TP53		no direction
IL-12 Signaling and Production in Macrophages	0.687	0	0.521	AKT1, AKT2, AKT3, APOE, IKBKB, IKBKG, IL12RB2, IRF1, JUN, MAF, MAP2K1, MAPK12, MAPK14, MAPK3, MAPK8, MYD88, NCOA1, NFKB1, NFKBIA, NFKBIB, PIK3CB, PIK3R1, PIK3R3, PPARG, PRKCE, PRKCI, PRKCQ, RBP4, RELA, SPI1, STAT6, TGFB1, TGFB2, TGFB3, TLR4, TRAF6, ZNF668		no direction
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	0.681	0	0.509	AKT1, AKT2, AKT3, APOE, FNBP1, IKBKB, IKBKG, IRF1, JUN, MAP2K1, MAP2K7, MAP3K1, MAP3K10, MAP3K2, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK8, NFKB1, NFKBIA, NFKBIB, NGFR, PIK3CB, PIK3R1, PIK3R3, PPARA, PPM1J, PPP1R14C, PPP1R3A, PPP1R7, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PRKCE, PRKCI, PRKCQ, RBP4, RELA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, SIRPA, SPI1, TLR4, TNFRSF11B, TNFRSF1B		no direction
Tryptophan Degradation X (Mammalian, via Tryptamine)	0.677	0	0.615	AKR1B10, Akr1b10, ALDH1A1, ALDH3A2, Aldh3b2, MAOA, MAOB, SMOX		no direction
Interferon Signaling	0.665	0.707	0.6	BAK1, BAX, IFIT3, IFNAR2, IRF1, MED14, PIAS1, RELA, TAP1		positive
Acetate Conversion to Acetyl-CoA	0.664	0	1	ACSL1, ACSS1		no direction
Cardiolipin Biosynthesis II	0.664	0	1	PGS1, PTPMT1		no direction
Creatine-phosphate Biosynthesis	0.664	0	1	CKM, CKMT2		no direction
Epoxysqualene Biosynthesis	0.664	0	1	FDFT1, SQLE		no direction
Folate Polyglutamylation	0.664	0	1	FPGS, MTHFD1		no direction
GDP-L-fucose Biosynthesis II (from L-fucose)	0.664	0	1	FCSK, FPGT		no direction
GDP-glucose Biosynthesis	0.664	0	1	HK2, PGM1		no direction
Glucose and Glucose-1-phosphate Degradation	0.664	0	1	HK2, PGM1		no direction
Glycerol Degradation I	0.664	0	1	GPD1, GPD2		no direction
Glycerol-3-phosphate Shuttle	0.664	0	1	GPD1, GPD2		no direction
Glycine Degradation (Creatine Biosynthesis)	0.664	0	1	GAMT, GATM		no direction
Lysine Degradation V	0.664	0	1	AASDH, AASDHPPT		no direction
Methylglyoxal Degradation I	0.664	0	1	GLO1, HAGHL		no direction
UDP-D-xylose and UDP-D-glucuronate Biosynthesis	0.664	0	1	UGDH, UXS1		no direction
Endocannabinoid Cancer Inhibition Pathway	0.663	-0.438	0.51	ADCY5, ADCY8, AKT1, AKT1S1, AKT2, AKT3, ATF3, ATF4, CASP2, CASP3, CASQ1, CCND1, CCND3, CCNE2, CDKN1A, CNR1, CREB3L2, CTNNB1, DDIT3, GNA13, GNAI2, GNAL, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK14, MAPK3, MTOR, NSMAF, PDGFC, PIK3CB, PIK3R1, PIK3R3, PRKAA1, PRKAB1, PRKAB2, PRKACA, PRKAG3, PRKAR1A, PRKAR2B, PTK2, RHOA, ROCK1, RPTOR, SNAI2, SPTLC2, TWIST1, VEGFD		negative
Neurotrophin/TRK Signaling	0.659	-0.784	0.529	AKT1, ATF4, BDNF, CREB3L2, HRAS, JUN, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K5, MAPK3, MAPK8, MRAS, NGFR, NRAS, NTF3, PDPK1, PIK3CB, PIK3R1, PIK3R3, PTPN11, RALA, RRAS, SPRY1, SPRY2		negative
PDGF Signaling	0.659	-0.962	0.529	CAV1, CAV3, CRK, EIF2AK2, HRAS, INPP5K, INPPL1, JUN, KRAS, MAP2K1, MAP3K1, MAPK3, MAPK8, MRAS, NRAS, PDGFA, PDGFB, PDGFC, PDGFRA, PIK3CB, PIK3R1, PIK3R3, RALA, RASA1, RRAS, SRF, STAT3		negative
VDR/RXR Activation	0.657	-0.535	0.531	CCL5, CCNC, CD14, CDKN1A, CEBPA, CXCL10, CYP27B1, FOXO1, GADD45A, HES1, IGFBP5, IGFBP6, KLF4, MED1, NCOA1, PDGFA, PPARD, PRKCE, PRKCI, PRKCQ, RXRG, SPP1, TGFB2, THBD, VDR, YY1		negative
Polyamine Regulation in Colon Cancer	0.655	-0.6	0.532	AKT1, AKT1S1, AKT2, AKT3, AZIN1, BCL2L11, CTNNB1, DHPS, JUN, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK3, MTA1, MTOR, PPARG, RHOA, RPTOR, SLC3A2, SMOX, STIM1, TP53, TRPC1		negative
IL-15 Signaling	0.652	0	0.533	AKT1, AKT1S1, AKT2, AKT3, HRAS, IL15, KRAS, MAP2K1, MAPK12, MAPK14, MAPK3, MRAS, MTOR, NFKB1, NRAS, PIK3CB, PIK3R1, PIK3R3, RALA, RELA, RPTOR, RRAS, STAT3, STAT6		no direction
Antiproliferative Role of TOB in T Cell Signaling	0.651	-0.302	0.579	CCNE2, CD3G, CUL1, PABPC4, SMAD3, SMAD4, TGFB1, TGFB2, TGFB3, TGFBR2, TOB1		negative
Superpathway of Methionine Degradation	0.651	-0.632	0.579	AHCYL1, AHCYL2, ALKBH8, CDO1, DLD, GOT2, MAT2A, MMUT, PCCA, PRMT3, PRMT5		negative
Ephrin B Signaling	0.648	-0.471	0.537	ABI1, CFL2, CTNNB1, EFNB1, EPHB2, EPHB3, EPHB6, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, HNRNPK, HRAS, ITSN1, MAPK3, MRAS, NCK2, PTK2, RHOA, ROCK1		negative
CD27 Signaling in Lymphocytes	0.645	-1.213	0.541	APAF1, CASP3, IKBKB, IKBKG, JUN, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K1, MAP3K10, MAP3K2, MAP3K5, MAPK12, MAPK8, NFKB1, NFKBIA, NFKBIB, RELA, TRAF2		negative
Crosstalk between Dendritic Cells and Natural Killer Cells	0.645	1.604	0.541	ACTA1, ACTA2, ACTB, ACTC1, CAMK2D, CAMK2G, CD80, CSF2RB, FAS, HLA-A, IL15, IL6, LTB, MICB, NECTIN2, NFKB1, RELA, TLN2, TLR4, TNFRSF1B		positive
Mitotic Roles of Polo-Like Kinase	0.644	-0.707	0.543	ANAPC13, ANAPC2, ANAPC5, CAPN1, CDC16, CDC23, CDC25A, HSP90AA1, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, RAD21, SMC1A, SMC3, STAG2, TGFB1, WEE1		negative
Role of JAK1 and JAK3 in γc Cytokine Signaling	0.643	0	0.545	HRAS, IL15, IL4R, IRS1, IRS2, KRAS, MAPK3, MRAS, NRAS, PIK3CB, PIK3R1, PIK3R3, PTPN11, RALA, RRAS, SOCS3, STAT3, STAT6		no direction
Triacylglycerol Degradation	0.643	3.051	0.56	ABHD6, CEL, LIPE, LIPG, LPL, MGLL, NDST1, NDST4, PLA1A, PLB1, PNPLA2, PNPLA7, PPME1, PRDX6		positive
Apelin Pancreas Signaling Pathway	0.642	2.324	0.552	APLN, DDIT3, MAPK12, MAPK8, NFKB1, PIK3CB, PIK3R1, PIK3R3, PRKAA1, PRKAB1, PRKAB2, PRKACA, PRKAG3, PRKAR1A, PRKAR2B, RELA		positive
Heparan Sulfate Biosynthesis (Late Stages)	0.642	-0.258	0.556	CHST10, CHST3, EXT1, EXTL2, HS2ST1, HS3ST3A1, HS3ST5, HS6ST1, LIPE, NDST1, NDST4, PLA1A, PNPLA7, PPME1, PRDX6		negative
Xenobiotic Metabolism General Signaling Pathway	0.631	-0.324	0.513	AKT1, AKT2, AKT3, GSTM1, GSTM3, GSTM5, GSTO1, HRAS, KEAP1, KRAS, MAF, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K1, MAP3K10, MAP3K2, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK7, MAPK8, MGST3, MRAS, NQO1, NR1H2, NR1H3, NR1H4, NRAS, PIK3CB, PIK3R1, PIK3R3, PPARA, PRKCE, PRKCI, PRKCQ, RALA, RRAS		negative
Systemic Lupus Erythematosus In B Cell Signaling Pathway	0.622	0.492	0.5	AKT1, AKT2, AKT3, BCL10, BCL2L11, Calm1 (includes others), CCND1, CCND3, CD72, CHP1, CTNNB1, FOXO1, FOXO4, HRAS, IFIT3, IFNAR2, IL15, IL17F, IL33, IL6, IL6R, IL6ST, INPP5K, INPPL1, IRAK1, IRF3, JUN, KRAS, LTB, MAP2K1, MAPK3, MCL1, MRAS, MTOR, MYD88, NFAT5, NFATC1, NFATC2, NFKB1, NRAS, PDPK1, PIK3CB, PIK3R1, PIK3R3, PPP3CA, PPP3CB, PPP3R1, PRKCE, PRKCI, PRKCQ, PTPN11, RALA, RASGRP2, RELA, RRAS, SHE, STAT3, STING1, TGFB1, TGFB2, TGFB3, TNFRSF13C, TNFSF12, TRAF2, TRAF3, TRAF6		positive
